"filename", "language", "C++", "comment", "blank", "total"
"e:\5.paper\code\xzxpir\simple\database.cpp", "C++", 178, 22, 27, 227
"e:\5.paper\code\xzxpir\simple\database.hpp", "C++", 41, 14, 13, 68
"e:\5.paper\code\xzxpir\simple\matrix.cpp", "C++", 384, 23, 25, 432
"e:\5.paper\code\xzxpir\simple\matrix.hpp", "C++", 46, 9, 13, 68
"e:\5.paper\code\xzxpir\simple\pir.cpp", "C++", 85, 22, 16, 123
"e:\5.paper\code\xzxpir\simple\pir.hpp", "C++", 67, 19, 10, 96
"e:\5.paper\code\xzxpir\simple\simplePirClient.cpp", "C++", 45, 1, 8, 54
"e:\5.paper\code\xzxpir\simple\simplePirClient.hpp", "C++", 14, 1, 2, 17
"e:\5.paper\code\xzxpir\simple\simplePirServer.cpp", "C++", 49, 14, 11, 74
"e:\5.paper\code\xzxpir\simple\simplePirServer.hpp", "C++", 18, 1, 5, 24
"e:\5.paper\code\xzxpir\simple\utils.cpp", "C++", 277, 4, 23, 304
"e:\5.paper\code\xzxpir\simple\utils.hpp", "C++", 25, 5, 10, 40
"Total", "-", 1229, 135, 163, 1527